TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Other Theft,2016,3,7,10.0,12.0,10XX GRANVILLE ST,Central Business District,491033.85,5458482.93
Theft from Vehicle,2016,9,13,3.0,22.0,5XX TAYLOR ST,Central Business District,492323.48,5458662.46
Vehicle Collision or Pedestrian Struck (with Injury),2016,8,13,8.0,32.0,W KING EDWARD AVE / PINE CRES,Shaughnessy,489263.0,5455217.0
Theft from Vehicle,2016,11,22,19.0,40.0,E GEORGIA ST / GORE AVE,Strathcona,492939.98,5458424.1
Theft from Vehicle,2016,9,7,22.0,0.0,5XX TAYLOR ST,Central Business District,492323.48,5458662.46
Theft from Vehicle,2016,12,16,23.0,0.0,24XX OLIVER CRES,Arbutus Ridge,488232.72,5455255.25
Theft from Vehicle,2016,8,11,14.0,30.0,5XX TAYLOR ST,Central Business District,492323.48,5458662.46
Theft from Vehicle,2016,7,16,11.0,0.0,1XX E BROADWAY AVE,Mount Pleasant,492561.73,5456687.53
Mischief,2016,2,9,21.0,52.0,3XX W PENDER ST,Central Business District,491906.87,5458854.87
Theft from Vehicle,2016,6,16,22.0,0.0,24XX NAPIER ST,Hastings-Sunrise,495891.62,5458022.32
Theft from Vehicle,2016,7,14,16.0,42.0,5XX TAYLOR ST,Central Business District,492323.48,5458662.46
Other Theft,2016,3,25,23.0,43.0,10XX GRANVILLE ST,Central Business District,491033.85,5458482.93
Other Theft,2016,12,11,20.0,22.0,10XX GRANVILLE ST,Central Business District,491033.85,5458482.93
Theft from Vehicle,2016,1,11,20.0,0.0,E GEORGIA ST / GORE AVE,Strathcona,492939.98,5458424.1
Other Theft,2016,3,9,1.0,27.0,10XX GRANVILLE ST,Central Business District,491048.51,5458497.92
Other Theft,2016,12,24,20.0,22.0,10XX GRANVILLE ST,Central Business District,491050.8,5458500.25
Mischief,2016,5,10,7.0,4.0,3XX WOODLAND DR,Grandview-Woodland,494712.75,5458795.93
Theft from Vehicle,2016,2,16,15.0,0.0,11XX SKEENA ST,Hastings-Sunrise,497938.77,5458016.85
